#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc,AAPL,11.16,148.67,-0.3,(-0.20%)
2,Microsoft Corp,MSFT,9.998,295.22,-0.49,(-0.17%)
3,Amazon.com Inc,AMZN,7.854,3463.75,-5.4,(-0.16%)
4,Alphabet Inc,GOOG,4.123,2838,-0.42,(-0.01%)
5,Facebook Inc,FB,4.073,378.49,-0.2,(-0.05%)
6,Tesla Inc,TSLA,3.94,732.35,-3.92,(-0.53%)
7,NVIDIA Corp,NVDA,3.826,224.8,0.02,(0.01%)
8,Alphabet Inc,GOOGL,3.804,2818.98,1.46,(0.05%)
9,PayPal Holdings Inc,PYPL,2.282,283.1,-1.22,(-0.43%)
10,Adobe Inc,ADBE,2.152,658.6,-0.34,(-0.05%)
11,Comcast Corp,CMCSA,1.857,59.28,-0.02,(-0.03%)
12,Netflix Inc,NFLX,1.813,598.99,0.27,(0.05%)
13,Cisco Systems Inc/Delaware,CSCO,1.667,57.89,0,(0.00%)
14,Intel Corp,INTC,1.485,53.75,-0.09,(-0.17%)
15,PepsiCo Inc,PEP,1.467,155.45,-0.01,(-0.01%)
16,Costco Wholesale Corp,COST,1.406,465.15,-0.01,(-0.00%)
17,Broadcom Inc,AVGO,1.389,497.84,-0.31,(-0.06%)
18,Moderna Inc,MRNA,1.233,449.75,0.37,(0.08%)
19,Texas Instruments Inc,TXN,1.203,189.4,-1.25,(-0.66%)
20,T-Mobile US Inc,TMUS,1.114,130.97,0.16,(0.12%)
21,QUALCOMM Inc,QCOM,1.099,142.68,0,(0.00%)
22,Intuit Inc,INTU,1.059,567.92,0.54,(0.10%)
23,Honeywell International Inc,HON,1.055,222.34,-0.03,(-0.01%)
24,Charter Communications Inc,CHTR,1.014,800.06,12.94,(1.64%)
25,Starbucks Corp,SBUX,0.961,119.09,-0.25,(-0.21%)
26,Advanced Micro Devices Inc,AMD,0.873,104.99,-0.21,(-0.20%)
27,Applied Materials Inc,AMAT,0.854,136.55,-0.29,(-0.21%)
28,Amgen Inc,AMGN,0.839,213.74,-0.01,(-0.00%)
29,Intuitive Surgical Inc,ISRG,0.828,1026,2.53,(0.25%)
30,Booking Holdings Inc,BKNG,0.646,2300.05,-4.75,(-0.21%)
31,MercadoLibre Inc,MELI,0.629,1847.4,-0.01,(-0.00%)
32,Gilead Sciences Inc,GILD,0.608,70.61,-0.38,(-0.54%)
33,Automatic Data Processing Inc,ADP,0.584,198.98,-1.85,(-0.92%)
34,Lam Research Corp,LRCX,0.583,598,-0.11,(-0.02%)
35,Mondelez International Inc,MDLZ,0.578,60.11,-0.12,(-0.20%)
36,Micron Technology Inc,MU,0.563,73.37,-0.13,(-0.18%)
37,Fiserv Inc,FISV,0.504,110.79,0.11,(0.10%)
38,Zoom Video Communications Inc,ZM,0.487,300.95,-0.55,(-0.18%)
39,CSX Corp,CSX,0.48,30.95,0,(0.00%)
40,ASML Holding NV,ASML,0.466,858.58,-0.29,(-0.03%)
41,Regeneron Pharmaceuticals Inc,REGN,0.465,650.49,0,(0.00%)
42,Illumina Inc,ILMN,0.457,453.55,-4.66,(-1.02%)
43,JD.com Inc ADR,JD,0.444,80.06,-0.58,(-0.72%)
44,Analog Devices Inc,ADI,0.428,169.94,0,(0.00%)
45,Autodesk Inc,ADSK,0.428,284.75,0.32,(0.11%)
46,Activision Blizzard Inc,ATVI,0.423,79.62,-0.02,(-0.03%)
47,NXP Semiconductors NV,NXPI,0.4,211.65,-0.47,(-0.22%)
48,IDEXX Laboratories Inc,IDXX,0.397,682.2,0.59,(0.09%)
49,Align Technology Inc,ALGN,0.39,720.61,-0.06,(-0.01%)
50,DocuSign Inc,DOCU,0.368,277.14,-0.01,(-0.00%)
51,KLA Corp,KLAC,0.367,349,-1.57,(-0.45%)
52,Lululemon Athletica Inc,LULU,0.364,425.1,-0.48,(-0.11%)
53,Dexcom Inc,DXCM,0.363,549.38,0,(0.00%)
54,Crowdstrike Holdings Inc,CRWD,0.356,261.06,-0.94,(-0.36%)
55,Atlassian Corp PLC,TEAM,0.351,379,-0.97,(-0.26%)
56,Synopsys Inc,SNPS,0.347,332.49,0,(0.00%)
57,Monster Beverage Corp,MNST,0.346,95.92,0,(-0.00%)
58,Workday Inc,WDAY,0.345,266.81,-0.72,(-0.27%)
59,Marvell Technology Inc,MRVL,0.342,61.02,-0.15,(-0.25%)
60,eBay Inc,EBAY,0.338,72.75,0.19,(0.26%)
61,Keurig Dr Pepper Inc,KDP,0.337,35.1,0.27,(0.78%)
62,Vertex Pharmaceuticals Inc,VRTX,0.333,188.4,-0.17,(-0.09%)
63,Exelon Corp,EXC,0.333,49.94,0.03,(0.06%)
64,Cadence Design Systems Inc,CDNS,0.317,166.22,-0.65,(-0.39%)
65,Biogen Inc,BIIB,0.308,299.81,0,(0.00%)
66,Kraft Heinz Co/The,KHC,0.304,36.32,-0.01,(-0.03%)
67,Match Group Inc,MTCH,0.303,163.5,-0.88,(-0.54%)
68,American Electric Power Co Inc,AEP,0.303,89.84,1.01,(1.14%)
69,Marriott International Inc/MD,MAR,0.302,135.65,0.01,(0.01%)
70,Microchip Technology Inc,MCHP,0.294,158,0.52,(0.33%)
71,Walgreens Boots Alliance Inc,WBA,0.292,49.44,-0.01,(-0.02%)
72,Baidu Inc ADR,BIDU,0.29,162.23,-1.87,(-1.14%)
73,Cintas Corp,CTAS,0.29,403.71,0,(0.00%)
74,Electronic Arts Inc,EA,0.284,144.14,-0.99,(-0.68%)
75,O'Reilly Automotive Inc,ORLY,0.282,592.36,0,(0.00%)
76,Ross Stores Inc,ROST,0.275,113.21,0.4,(0.35%)
77,Cognizant Technology Solutions Corp,CTSH,0.275,76.15,-0.11,(-0.14%)
78,Paychex Inc,PAYX,0.272,110.31,0.01,(0.01%)
79,Pinduoduo Inc ADR,PDD,0.268,103.2,-0.55,(-0.53%)
80,Xilinx Inc,XLNX,0.26,155.05,-0.01,(-0.01%)
81,Xcel Energy Inc,XEL,0.249,67.76,0,(0.00%)
82,Copart Inc,CPRT,0.231,143.23,0,(0.00%)
83,Verisk Analytics Inc,VRSK,0.228,204.86,-0.69,(-0.34%)
84,ANSYS Inc,ANSS,0.222,374,0.39,(0.10%)
85,Okta Inc,OKTA,0.217,253.6,-0.38,(-0.15%)
86,Fastenal Co,FAST,0.21,53.58,0,(0.00%)
87,Peloton Interactive Inc,PTON,0.21,114.5,0.11,(0.10%)
88,Skyworks Solutions Inc,SWKS,0.2,177.32,-0.01,(-0.01%)
89,PACCAR Inc,PCAR,0.198,85.35,1.74,(2.08%)
90,CDW Corp/DE,CDW,0.19,197.99,0,(0.00%)
91,Seagen Inc,SGEN,0.188,154.45,2.94,(1.94%)
92,NetEase Inc ADR,NTES,0.182,88.84,0.39,(0.44%)
93,Splunk Inc,SPLK,0.172,153,-0.85,(-0.55%)
94,VeriSign Inc,VRSN,0.17,221.9,0.73,(0.33%)
95,Sirius XM Holdings Inc,SIRI,0.168,6.03,0.03,(0.50%)
96,Cerner Corp,CERN,0.153,74.12,-0.33,(-0.44%)
97,Dollar Tree Inc,DLTR,0.143,90.07,-0.14,(-0.16%)
98,Check Point Software Technologies Ltd,CHKP,0.112,121,-0.12,(-0.10%)
99,Trip.com Group Ltd ADR,TCOM,0.111,30.98,0.07,(0.23%)
100,Incyte Corp,INCY,0.107,72.08,0.96,(1.35%)
101,Fox Corp,FOXA,0.08,35.92,-0.02,(-0.06%)
102,Fox Corp,FOX,0.058,33.3,0,(0.00%)
